ET00068588,badhaai ho,badhaai-ho,85,100652,3.4,4.4,2018-10-29 17:00:00,"['Comedy', 'Drama']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/badhaai-ho/ET00068588
ET00055106,baazaar,baazaar,74,9091,2.2,4.0,2018-10-29 17:00:00,"['Crime-Thriller', 'Drama', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/baazaar/ET00055106
ET00077959,andhadhun,andhadhun,86,142978,3.8,4.4,2018-10-29 17:00:00,"['Crime-Thriller', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/andhadhun/ET00077959
ET00079092,tumbbad,tumbbad,82,26091,3.3,4.3,2018-10-29 17:00:00,"['Fantasy', 'Horror', 'Period']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/tumbbad/ET00079092
ET00071703,qismat,qismat,87,17689,3.0,4.6,2018-10-29 17:00:00,"['Drama', 'Romance']",Punjabi,https://in.bookmyshow.com/national-capital-region-ncr/movies/qismat/ET00071703
ET00061982,sui dhaaga made in india,sui-dhaaga-made-in-india,77,84610,3.2,4.0,2018-10-29 17:00:00,"['Comedy', 'Drama', 'Family']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/sui-dhaaga-made-in-india/ET00061982
ET00046526,incredibles 2,incredibles-2,87,111977,3.7,4.5,2018-10-29 17:00:00,"['Action', 'Animation']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/incredibles-2/ET00046526
ET00069122,venom,venom,81,85132,2.5,4.3,2018-10-29 17:00:00,"['Action', 'Sci-Fi']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/venom/ET00069122
ET00069350,namaste england,namaste-england,53,8239,1.4,2.9,2018-10-29 17:00:00,"['Comedy', 'Romance Comedy']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/namaste-england/ET00069350
ET00072331,first man,first-man,77,7006,3.9,3.9,2018-10-29 17:00:00,"['Biography', 'Drama', 'History']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/first-man/ET00072331
ET00072476,goosebumps 2 haunted halloween,goosebumps-2-haunted-halloween,69,1540,2.5,3.7,2018-10-29 17:00:00,['Comedy'],English,https://in.bookmyshow.com/national-capital-region-ncr/movies/goosebumps-2-haunted-halloween/ET00072476
ET00080589,hunter killer,hunter-killer,80,823,2.0,4.4,2018-10-29 17:00:00,"['Action', 'Thriller']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/hunter-killer/ET00080589
ET00068789,kayamkulam kochunni,kayamkulam-kochunni,,,,,2018-10-29 17:00:00,[],,https://in.bookmyshow.com/national-capital-region-ncr/movies/kayamkulam-kochunni/ET00068789
ET00065290,hotel transylvania 3 a monster vacation,hotel-transylvania-3-a-monster-vacation,76,13272,2.3,4.1,2018-10-29 17:00:00,"['Animation', 'Comedy']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/hotel-transylvania-3-a-monster-vacation/ET00065290
ET00049107,a star is born,a-star-is-born,83,3641,3.8,4.3,2018-10-29 17:00:00,"['Drama', 'Musical', 'Romance Comedy']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/a-star-is-born/ET00049107
ET00074737,halloween,halloween,67,1173,3.4,3.4,2018-10-29 17:00:00,"['Horror', 'Suspense', 'Thriller']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/halloween/ET00074737
ET00078989,kaashi,kaashi,65,668,2.0,3.5,2018-10-29 17:00:00,"['Suspense', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/kaashi/ET00078989
ET00071661,hereditary,hereditary,62,5241,3.6,3.0,2018-10-29 17:00:00,"['Drama', 'Horror']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/hereditary/ET00071661
ET00075046,5 weddings,5-weddings,43,478,1.8,2.2,2018-10-29 17:00:00,"['Drama', 'Romance Comedy']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/5-weddings/ET00075046
ET00052485,crazy rich asians,crazy-rich-asians,,,,,2018-10-29 17:00:00,[],,https://in.bookmyshow.com/national-capital-region-ncr/movies/crazy-rich-asians/ET00052485
ET00065784,smallfoot,smallfoot,85,2973,3.5,4.4,2018-10-29 17:00:00,"['Animation', 'Comedy']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/smallfoot/ET00065784
ET00042453,vada chennai,vada-chennai,85,44517,3.9,4.4,2018-10-29 17:00:00,"['Crime-Thriller', 'Drama', 'Thriller']",Tamil,https://in.bookmyshow.com/national-capital-region-ncr/movies/vada-chennai/ET00042453
ET00074435,ranjha refugee,ranjha-refugee,71,123,,3.6,2018-10-29 17:00:00,"['Drama', 'Romance Comedy']",Punjabi,https://in.bookmyshow.com/national-capital-region-ncr/movies/ranjha-refugee/ET00074435
ET00075763,hello guru prema kosame,hello-guru-prema-kosame,79,43489,3.5,4.0,2018-10-29 17:00:00,"['Comedy', 'Romance Comedy']",Telugu,https://in.bookmyshow.com/national-capital-region-ncr/movies/hello-guru-prema-kosame/ET00075763
ET00084794,chalakkudikkaran changathi,chalakkudikkaran-changathi,80,4754,3.0,4.2,2018-10-29 17:00:00,"['Biography', 'Drama']",Malayalam,https://in.bookmyshow.com/national-capital-region-ncr/movies/chalakkudikkaran-changathi/ET00084794
ET00085392,the journey of karma,the-journey-of-karma,60,141,,3.0,2018-10-29 17:00:00,['Drama'],Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/the-journey-of-karma/ET00085392
